Rating,Name,Rating Agency Name,Date,Sector,currentRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,grossProfitMargin,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BB,Company 47,Rating agency 3,08/12/2011,Basic Industries,-0.228202621,0.140607404,0.815110519,-0.263729417,-0.66799923,-0.455774293,-1.162471103,-0.253096685,0.233177568,0.160449164,0.51377621,0.133396657,0.293266527,-0.073385693,0.119663998,-0.403091132,-0.404151804,0.279558204
BB,Company 368,Rating agency 3,8/15/2011,Consumer Services,-2.383726464,-1.116753893,-1.028794909,2.049397865,1.237258848,-0.319801682,-0.674063513,-1.880826909,0.151678056,-0.029646221,-1.097400827,-0.131820069,0.338571275,-0.013864807,0.409249271,-0.157888281,1.10952676,-1.259732605
B,Company 376,Rating agency 3,8/31/2011,Technology,-0.290582363,0.527023703,0.510012448,-0.706073114,1.500694366,-0.365104444,-0.022201642,-0.414244585,0.491483364,0.033510198,-0.15899096,0.47607132,0.161894203,-0.10665813,0.092746747,-0.534913345,-0.246413588,-1.777398613
BB,Company 370,Rating agency 3,09/01/2011,Energy,-0.326307238,-1.251898289,1.105803732,1.094385198,-1.535747425,-0.325183991,-0.641408401,-1.582229075,-2.161958492,0.009884125,-0.418070261,0.346252601,-0.463669862,-0.142797619,-0.072661271,0.149238294,2.094481429,-0.541029896
BBB,Company 282,Rating agency 3,09/02/2011,Consumer Non-Durables,-0.654526619,-0.292060172,0.008318381,0.287902815,-0.336164004,0.525627459,0.725622209,0.271415656,0.263962149,0.075248877,0.160039948,0.157281433,0.188870855,-0.08386657,0.043246604,-0.397593604,-0.299482929,0.58487955
A,Company 122,Rating agency 3,9/21/2011,Energy,0.386776925,0.352137389,0.336040878,0.176427071,-0.776626323,2.101796995,0.918214206,0.976639478,0.636289473,-0.003704107,-0.621484711,0.102883894,0.314905038,0.156040293,-0.03722332,0.412186707,-0.259648484,0.553857228
BB,Company 372,Rating agency 3,10/11/2011,Consumer Services,1.653109807,1.27972206,-2.446369468,-0.225602096,-0.633611305,0.225204343,-0.618063836,1.109000053,0.977756973,-0.071331021,-2.543123997,0.160256255,0.316366837,-0.079235135,0.002874203,-0.439895232,-0.420147985,1.109916452
B,Company 296,Rating agency 3,10/24/2011,Transportation,-0.095215461,0.759131063,0.732282792,-0.077285914,-0.233202353,-0.195137831,-1.440171237,-1.050311233,-1.353176953,0.046674574,-0.210750147,-0.133022847,-1.666145822,-0.586985266,-0.037078476,0.369195628,-0.154887855,0.403379409
BB,Company 169,Rating agency 3,10/26/2011,Technology,-1.032800901,0.570338292,-1.025336519,-0.091556881,0.605095756,0.155648297,-0.204691702,0.537147733,0.794776335,-0.008914287,-0.700480922,0.174016692,0.14453677,-0.035253641,-0.169394896,-0.103650372,-0.307521307,0.456648717
BB,Company 118,Rating agency 3,11/04/2011,Health Care,-0.299960599,-1.033377227,0.377510922,-0.37692997,1.526945768,-0.450431615,-1.371378611,0.650158142,-0.198519911,0.344245715,0.899931006,0.19022329,0.618189593,-0.096141815,0.152670297,-0.605782849,-0.459808242,-1.777398613
