returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating,ROCE_NetProfitMargin,NetProfitMargin_OpCashFlow,CashRatio_OpCashFlow,CashRatio_NetProfitMargin,DebtRatio_ROCE,DebtRatio_OpCashFlow
-0.448694394,-0.677578025,-0.350506125,1.581934765,-0.536032572,-0.488454578,0.630360972,-0.129644698,0.416562057,0.800648288,0.021330471,0.318760743,-1.177307581,-8.753538437,1.299071268,0.539844298,0.481237898,-0.022201642,8,0.002491281,4,2011,TRUE,3,0.157270133,0.237495248,-0.282253296,-0.146007552,-0.709805261,-1.071884234
0.079428381,0.218738379,0.708892657,-0.25583938,0.870354083,0.192805488,-1.310268456,-0.273196194,-1.771757766,-1.523784604,-0.910283209,-0.020252085,1.524932602,0.026409045,-0.974825936,-1.777398613,0.700492839,-0.253823934,8,0.003487793,4,2011,TRUE,3,0.056306196,0.155062031,-0.387551422,-1.25598607,-0.020320908,-0.055961891
-0.203067126,-0.027801872,5.191175032,-0.358668836,8.266179045,0.172852269,-0.211375297,-0.285018219,-3.525667866,-3.439338404,-1.213108253,-0.005745667,1.518990654,0.014854877,-5.207600338,-1.777398613,3.050910185,-0.735597096,11,0.002989537,4,2011,TRUE,5,-1.054156994,-0.144324384,0.098020167,-18.302359,0.07283385,0.009971665
0.310783232,0.197022015,-0.199866516,0.127842575,-0.339092893,0.174360114,0.09974867,0.082201138,-1.161544528,-0.084535872,0.324254426,0.019896479,-0.566328647,0.072030881,0.929372994,0.323656857,-2.446369468,0.121341003,27,0.002989537,4,2011,TRUE,0,-0.062115162,-0.039378104,-0.228849843,0.232153858,0.039731329,0.025187802
0.914031625,-2.463162021,-0.123314652,-0.577808604,-0.822685368,0.06326383,0.048935795,-1.889342359,-1.07912891,0.696601204,1.013698133,-0.134189841,-1.390263102,-0.001762189,1.126390547,0.839519227,-0.14641645,0.297664587,27,0.003487793,4,2011,TRUE,4,-0.112713492,0.303743967,2.658069347,0.133072406,-0.528135337,1.423236209
-0.074549598,0.224554063,-0.095675208,0.361510668,-0.003573356,0.160319599,-1.288481766,0.001760915,0.022047044,-1.048580381,0.021366485,-0.04409803,-0.850899869,0.119618999,-0.333960856,0.526209164,0.031195145,-0.536362675,27,0.002989537,4,2011,TRUE,5,0.007132548,-0.021484257,0.004950753,-0.002109356,-0.026950475,0.081178689
-0.132890895,0.242134894,0.445821841,0.31752273,0.285007774,0.377954017,-0.573519202,0.013605573,0.520459024,-1.238467413,0.036644622,-0.114734954,1.504338107,0.103844925,-0.539840956,-1.777398613,0.131030004,0.219953725,28,0.003487793,4,2011,TRUE,5,-0.059245663,0.107949024,0.126021291,0.232032,-0.04219588,0.076883333
0.076694463,0.201909604,0.381446127,0.500005837,0.22301051,0.200209083,-0.038217439,-0.0193823,0.307958794,-1.025976625,-0.043844477,-0.08468476,1.520492233,0.158533263,-0.603192439,-1.777398613,0.208438773,0.281840982,28,0.003487793,4,2011,TRUE,5,0.029254806,0.077017636,0.062179838,0.117469689,0.038347679,0.100955981
-0.369876687,-0.473919808,-0.632319422,-0.701403139,-0.22663506,0.220399427,-0.502109979,-0.06397517,0.654651539,0.623260964,0.617964215,0.087375934,0.535777552,-0.00774084,-0.240140136,-0.205034164,0.377220702,-0.022201642,6,0.003487793,5,2011,TRUE,3,0.233880213,0.299668699,-0.310252332,-0.413948883,0.259432669,0.332408841
-0.20608627,-0.471067995,-0.303934788,0.244282219,-0.600634319,-0.133549845,-0.711928041,-0.204193042,-2.483644448,0.174048846,-1.45165995,0.064838988,-1.436703058,0.095751466,1.204094551,0.584043857,0.224444237,-0.24224629,16,0.003487793,5,2011,TRUE,5,0.062636787,0.143173951,1.16996541,0.754865949,-0.050343211,-0.115073535
