Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BBB,Company 126,Rating agency 1,2/14/2014,Basic Industries,1.1844496761474401,0.5189842105018173,0.6470354961733661,0.47238184418518026,-0.051293930399748375,0.11871768463841892,-0.9713832892217561,0.06262815058358297,0.13902927046069552,0.06948458767772235,-0.2836514282882212,0.25580905670830095,-0.2727366103435213,0.0054397975393194655,-0.5104050256243208,0.14549017861969135,-1.1890654415811328,-0.2449619936841781,0.002016956574602803,0.10566682810283812,0.0460505361529938,-0.17673715613342295,-0.32620264339304067,0.37955352672103476
A,Company 247,Rating agency 3,2/18/2014,Consumer Non-Durables,-0.3733372405533184,-0.031107945509864406,0.5477929912353334,0.20501172003597012,0.17368441855536976,0.22180415273699874,0.0655718866913887,0.19868542964366162,0.5760894259852503,0.5697123080714794,0.7058805648316678,0.34126638023711037,0.1275277185370512,0.09621147071537771,0.26323139804779494,0.0736680753101055,0.3335828300221154,0.04223672312346476,0.10381660710755747,0.21438193763022262,0.12346677327267608,0.05081801863178375,-0.16616530776828725,-0.4901690042467318
BB,Company 231,Rating agency 1,2/18/2014,Consumer Durables,0.3397938096666059,0.3485510016296656,-0.5485842509452746,0.8738373925035042,-0.165103146933741,-0.007199138364697961,-0.6159283800215558,-0.0005311046415206438,-0.0747532641771187,-0.25795346858378443,-0.3059221269261327,0.1743413565637006,0.5614378270359209,0.11895432487779019,0.3409496914548164,0.004275513913881383,0.42877741825878546,-0.08219204018600207,0.12480665682619121,-0.026651540267431585,-0.01804627612711738,-0.4956861515359822,-0.2733223752447152,0.3264944161691448
A,Company 187,Rating agency 4,2/21/2014,Consumer Services,-1.2779222121350162,-0.542238321891227,-0.7455692988354183,0.16034112746000573,0.1948826352011976,0.33006705081533977,1.4946561796038849,0.3894943771220413,0.050932385210502126,0.005476365999477052,-0.09003797109132661,-0.4723160652858332,-0.2034499447084461,0.09423414530278483,0.216431681333156,0.1707087191633725,0.06711005942147873,-0.035698207947859203,0.09954591751005347,0.3294255669103101,-0.0852261025956743,-0.02711958353745179,0.04534422009882243,-1.7773986131260346
BBB,Company 22,Rating agency 1,2/21/2014,Consumer Services,0.5042469524381827,-0.030913846203978655,0.7917601236106255,-2.446369468056936,-0.03668124567005017,-0.008397853938165466,-0.8990741649725773,0.014630371192851486,0.004758749991105402,-0.38484176776875023,-0.6120056921288818,-0.061555966711522,0.04044761906368921,-0.0017242055899017407,-0.5791220594522161,-0.4000183978581694,0.35504408280664346,-0.08556467055516513,-0.0036645669738322377,-0.028837998668943505,0.2761048684801233,-0.4863196505306319,-0.2553810211339903,1.203900737423769
BBB,Company 31,Rating agency 1,2/24/2014,Basic Industries,0.23685824173303158,-1.201822636110667,-0.5939851186660828,-0.15809674994243675,-0.1669357481348659,-0.02405108420162175,-1.0007205004298714,-0.021140835073926525,-0.03128645838883581,-0.2673813384102074,-0.6675290689558953,0.2992889714563905,-0.20337720277470206,0.0010433901623993803,-0.5401299712710365,0.17904431518974132,-0.03404687033020598,-0.03964427810456098,-0.002008383643918134,-0.0458676197246006,0.030318014268471288,0.08317892781304032,-0.24263208226993033,0.09830732126731852
BBB,Company 120,Rating agency 1,2/24/2014,Public Utilities,-0.5508476313838686,-0.20761351744351786,0.054277406401176294,0.20371543417547844,-0.1960517890596501,0.05518099284888407,-0.336824487725386,0.10081840384228158,-0.1327883457352786,-0.14191821112829217,-0.2950971011674388,0.15638325169012482,-0.39960635880670264,0.1755067674152787,0.5945417682933801,0.12974868247527446,-0.010646463088746453,-0.025841576900545102,0.18479188766413956,0.03969833275034153,-0.0750938761672395,0.12370207882521216,-0.2696579154176214,0.5995589275639953
BB,Company 260,Rating agency 3,2/25/2014,Consumer Services,0.8561417722585432,1.0637393262538688,1.4696532092183514,-0.09278925359255907,0.12394234990473045,0.2367807293973135,1.4026487538501982,0.18072160758652586,0.34214336875208134,0.29239794972948324,0.15631538892941035,0.1466839106132842,0.8103202543021956,0.03398346225139209,-0.1566668701491448,0.14506856138448274,0.41851633775091757,-0.05458867486026478,0.03405051408427272,0.228312602567721,0.36738810860583615,-0.3766554066701168,-0.20026051135088607,-0.8456377489690533
A,Company 217,Rating agency 1,2/26/2014,Energy,-0.9339633623887051,-0.2597626912418794,-2.5679530176503644,0.0767403578882887,-0.23179851989809094,-0.053090936468232076,-1.4006580485244007,-0.1321101054935502,0.339579334203419,0.16355676955056692,0.22438460719014247,1.2993847799858431,0.18510442122440468,0.04744408763493166,-0.03031669090621839,-0.07263552699979309,-0.25664685741164894,-0.098924643655264,0.05160776196366637,-0.07706664045864949,0.11708705856913498,0.006020627401827867,-0.48005320459358924,-1.48333038447532
B,Company 373,Rating agency 4,2/27/2014,Energy,-0.8337856992470355,-0.6351964408376742,-0.1798477339547933,0.5122833489759262,0.8482064698987091,0.7682367106537067,1.49869985383283,1.127086272626341,0.1208663695020932,0.05715721880293743,0.15894109943719056,-1.0841405925911969,-1.5823470630520717,0.12547507463579566,0.4185749641514633,0.1858571547861074,0.6034432578011313,0.15587119398020308,0.1332320318479737,0.7757715713436465,0.0005700944143394354,0.16454969258100116,1.089787572765959,-1.7773986131260346
BB,Company 392,Rating agency 3,2/27/2014,Technology,0.22015989779212497,0.5896971527122525,1.0207340141036974,0.6945602198719355,-0.7381195193339006,-0.4882600449657227,0.22058675876311978,-0.17856494982116095,-0.7193361198250011,-0.9881682924527357,-0.022201641603082915,-0.7609475754279231,0.9642667680056225,0.011024467195080805,-0.44653478218157755,-0.21132879521104436,0.4667260290965834,-0.09569467799670499,0.007523179659999887,-0.5352393031198396,0.47140121215992453,-0.5704829135356508,0.035406706476399416,0.5254296455384014
A,Company 285,Rating agency 1,2/28/2014,Consumer Services,-0.3638769150843284,-0.32343300345590065,-0.27252636717134276,0.5205074805635969,-0.13230428175279157,-0.01521020086221052,0.33538295382666156,-0.02072987700611326,0.05808567400279782,0.09306457031926411,-0.36872748196253485,0.3609796589533264,0.49539389161795955,0.02215386557407094,-0.2955432928044078,0.07193347380629755,0.16355789790913755,-0.0987182084384005,0.024569864319814897,0.04525249624970875,0.17065772891464237,-0.48464332817061817,-0.37433140084728433,-0.016632102117137726
