returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating
1.006124475,-0.720283843,-0.038855257,1.889238367,-0.527362476,0.196977513,0.08373259,-0.128602441,0.816313536,1.248156507,0.28256796,0.02226242,-0.905565603,-1.610991886,0.722400643,2.496440963,-0.854486769,-0.022201642,13.0,0.0024912805181863,11.0,2011.0,True,5.0
-0.65969531,-0.627184448,-0.426769563,-0.904507334,-0.204338858,-0.058890337,1.055830444,-0.121268144,1.770461478,-1.243271386,0.10871634,0.081665948,0.867049178,-0.018423717,-0.526440987,0.224973061,-2.446369468,-0.022201642,14.0,0.0029895366218236,11.0,2011.0,True,4.0
0.00198523,0.148695591,0.354517663,0.505325828,0.150846171,0.181457438,-0.606713302,-0.090031903,-0.154306372,-1.065732909,-0.264577321,-0.06504492,1.497385377,0.154868521,-0.65067104,-0.934189982,0.064803106,0.187271434,18.0,0.0034877927254608,11.0,2011.0,True,5.0
1.323008811,0.138504719,0.937112479,-1.657164011,0.197299906,-0.04829287,1.992472941,0.105039016,1.593761777,0.920417082,0.464841537,-0.074671795,-0.139943172,-0.050150283,0.252971356,0.727298903,0.610263324,0.758963532,15.0,0.001993024414549,12.0,2011.0,True,4.0
0.771139184,4.01387637,0.848617333,-0.109219565,1.029257061,0.087360461,-1.638150825,3.670401582,0.302838339,-0.903274673,0.28127964,-0.212977943,0.925214796,0.044249267,-0.559066766,-1.134870887,0.239324198,0.372746623,16.0,0.0034877927254608,12.0,2011.0,True,4.0
0.447277609,-0.214651774,0.270018244,-1.115568172,-0.090884689,0.179795609,-0.547870395,-0.063874709,0.039436477,-0.229830656,0.096990461,-0.007253245,1.527602835,-0.027982842,-0.100072682,-1.777398613,0.474933243,-0.137533811,22.0,0.0034877927254608,12.0,2011.0,True,0.0
0.187713996,6.219973238,0.382640713,0.172313275,0.098728011,0.029757504,-0.954452848,6.01641311,0.055259152,0.843095462,0.371259792,-0.218069651,0.816810273,0.075722345,-0.170887683,-0.05547773,0.169804396,0.414359892,22.0,0.0009965122072745,12.0,2011.0,True,5.0
1.218997697,-0.231642145,-0.059153657,-0.300532754,-0.203401214,0.363632057,-0.635941334,-0.11123251,-1.311602203,-0.450951476,-0.227780299,-0.047956313,-0.713737119,0.033311503,0.208756953,-0.252061277,0.868203872,-0.185150837,17.0,0.0029895366218236,1.0,2012.0,True,0.0
0.015419829,0.017089035,-0.145002556,1.293874281,0.610954149,-0.042133959,-0.553780366,-0.094895094,0.549274318,-1.015613058,-0.243151482,-0.020583631,1.517753893,0.860880539,-0.282599596,-1.777398613,0.025181795,0.751207004,16.0,0.0024912805181863,2.0,2012.0,True,4.0
1.037155289,0.137891892,-0.009306818,0.782867735,-0.205644369,0.158314515,0.353087682,0.071348495,0.452914314,0.007908488,0.331499296,0.086644758,1.488950652,0.255979555,0.959278589,-0.736190126,0.293340201,1.462182043,17.0,0.0009965122072745,2.0,2012.0,True,1.0
-0.568278023,-0.502691764,-0.274495558,0.447290103,0.122855787,-0.449404327,2.283405679,-0.113530991,1.970232554,-0.72125401,-0.006054118,-0.060655986,0.166876022,0.138044864,-0.210885879,0.617477835,0.038664859,-1.248248437,29.0,0.0034877927254608,2.0,2012.0,True,3.0
-0.728967542,-0.692733863,-0.432449494,0.089344156,-0.56976045,0.270820161,1.088976441,-0.181401833,0.823026112,0.367894301,-2.677776535,0.028488891,-0.896045722,0.065900821,0.488899219,0.461345337,0.445517479,-0.022201642,29.0,0.0029895366218236,2.0,2012.0,True,4.0
-0.162087583,-0.193274013,0.050478883,-0.569071597,0.00608136,0.144145241,-0.377834163,0.002386336,0.142696669,1.012862832,0.506051031,-0.010093878,-0.62341865,-0.002103703,-0.434202297,0.247471808,0.464377173,-0.756824921,5.0,0.0024912805181863,3.0,2012.0,True,4.0
0.606272444,0.034249255,1.180445744,-0.214813737,1.095886612,0.185621896,-1.067774798,0.102294605,-1.211355274,-1.397759421,0.607915669,-0.006547459,1.515050859,0.028462885,-0.826212417,-1.777398613,0.747252889,0.27578468,5.0,0.0024912805181863,3.0,2012.0,True,4.0
-0.647500494,0.484870905,-0.426181679,0.655654375,0.292358769,-8.470516219,-0.71873561,-0.267012509,0.216018287,-1.320717622,-0.746301861,0.093339462,1.521793184,0.204246485,-0.934287503,-1.159164522,-0.065825614,-0.022201642,6.0,0.0034877927254608,3.0,2012.0,True,4.0
0.669070486,-0.006532294,0.145530963,0.443612185,-0.200686536,0.099655149,-0.829645304,0.006463928,-0.080368451,0.080650343,0.240793348,0.073478773,0.057064411,0.126474042,0.412890857,-0.441466949,0.199373817,0.832091445,27.0,0.0029895366218236,3.0,2012.0,True,0.0
0.528120288,-0.203146809,-0.257390052,0.50223591,-0.468126179,0.055593723,-0.297404904,-0.069045201,-0.065637451,0.80312447,0.050777909,-0.07813308,1.495723058,0.151993865,1.4219342,0.102609166,-0.110994832,0.571707271,5.0,0.0034877927254608,4.0,2012.0,True,4.0
0.183513063,-0.28834802,-0.169607057,-1.384996842,-0.536689402,0.141416726,1.638079564,-0.097363012,-0.389249676,0.5905414,-0.076258351,-0.00589657,-0.818687941,-0.041608011,0.91471284,1.25551205,0.246514238,-0.32487857,17.0,0.0024912805181863,4.0,2012.0,True,5.0
-0.795745756,0.796186149,-0.321922163,-0.845954903,-0.486933176,-0.271250462,0.336150366,0.251207207,-0.542486673,0.84043025,0.176310023,-0.009199897,-1.416922978,-0.016412627,1.497984692,1.220978041,-0.42109164,-0.657993973,23.0,0.0034877927254608,4.0,2012.0,True,4.0
0.946821951,-0.41788014,1.039449002,-1.106503799,0.31206262,0.085582516,1.028484584,-0.047399878,1.107732315,0.946704963,0.621385614,0.184880466,1.341699773,-0.029106178,-0.275293401,-0.379476093,0.619894083,0.429050263,24.0,0.001993024414549,4.0,2012.0,True,0.0
0.603424857,-0.339731777,0.820767296,-0.562622026,1.174215686,0.173663568,-1.734612122,-0.274617396,-0.477122907,-1.363133827,-1.916701956,-0.010805012,1.049526963,-0.000752246,-0.756620991,-0.757707915,0.453680356,-0.064292676,24.0,0.0029895366218236,4.0,2012.0,True,3.0
0.739564006,0.126486333,0.647446889,0.394459722,0.863844117,0.164008624,-1.796434371,0.142845396,-2.037243748,-1.055674866,0.607020713,-0.125816247,1.501721137,0.12240511,-0.202303592,-1.777398613,0.18825707,0.850145631,26.0,0.0034877927254608,4.0,2012.0,True,3.0
0.200386657,0.482749613,0.368414861,-0.129504663,0.722285839,0.179863493,-0.922688333,0.312000848,-0.041810538,-1.147549851,0.607898523,-0.074957079,1.483899807,0.041858608,-0.424775683,-1.777398613,0.374512323,0.015682263,7.0,0.0029895366218236,5.0,2012.0,True,4.0
-0.338247839,-0.160071153,-0.00999298,1.411233223,0.399312044,0.172518225,0.432838634,-0.02221014,1.169393904,-0.634505272,0.292844047,0.032362998,1.487242214,1.59246247,-0.748132831,0.699930937,0.144372711,1.467049831,14.0,0.0009965122072745,5.0,2012.0,True,3.0
-0.264134996,-0.349807884,-0.227386707,0.564174687,-0.050846114,-0.06977769,0.008421349,-0.130717463,0.724422691,-0.369488446,-0.346527337,-0.1373253,-1.0156103,0.174152634,0.512016119,0.116187652,0.225859424,-0.105466314,21.0,0.0029895366218236,5.0,2012.0,True,4.0
0.715242444,0.143261765,0.073003284,-0.766816789,-0.324144596,0.084969308,0.27859452,0.101274356,0.060801638,0.546135632,0.432256273,0.007325008,-0.830057071,-0.01255633,0.647182794,0.470556105,0.516136184,0.311636657,24.0,0.0034877927254608,5.0,2012.0,True,0.0
-0.134962505,-0.323924149,0.011259021,0.436542085,0.265458408,0.192411602,-2.383726464,-0.07918484,-0.755616143,-1.236596504,0.110973378,0.214161979,-0.405018323,0.485582366,-0.949899038,0.31747227,0.270451907,0.225366962,24.0,0.0009965122072745,5.0,2012.0,True,4.0
1.416798235,-0.123345145,0.070955908,0.458891828,-0.29201111,0.090782322,-0.528606953,0.048875614,-0.146326262,0.757233827,0.626313546,0.140996371,0.495325828,0.143463068,0.868557306,0.136805516,-0.137494598,1.203503834,25.0,0.0029895366218236,5.0,2012.0,True,5.0
1.683669308,0.741417307,0.454109886,0.906126295,-0.053027389,0.076951995,-0.428631371,0.351659566,0.084004006,0.629961911,0.402289018,0.056364602,-0.118204687,0.325275866,0.420685352,0.310599989,0.209560376,1.869203426,30.0,0.0029895366218236,5.0,2012.0,True,1.0
